what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1383901183546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1383901185546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901186437
opened,view,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.PackageExplorer",1383901214453
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1383901214656
closed,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901214656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901223796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901233984
opened,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901234281
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901234328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901236718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901244671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901250640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901263250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901267265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901272296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901301531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901315484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901322906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901328500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901332421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901339156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901350375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901354890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901368890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901372578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901383046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901387531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901397187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901401812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901409343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901424609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901426125
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1383901427031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901435250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1383901460468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901461218
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1383901470281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901474359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901478781
opened,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901478937
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901479000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1383901496250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1383901497187
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1383901499921
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1383901517640
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901517859
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901526640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901533859
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901534796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1383901546703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1383901547640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1383901548453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1383901549390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1383901550843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1383901551812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901552656
activated,editor,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.CompilationUnitEditor",1383901554718
executed,command,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1383901561765
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1383901563687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901565359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383901565593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1383901566609
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1383901568546
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1383901570015
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1383901571171
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1383901572375
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1383901573828
