what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1383211835171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383211839046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383211855609
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383211857656
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1383211875562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383211879500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383211884187
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383211905578
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1383211908156
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383211909328
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1383211920312
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383211920578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383211934343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383211952109
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1383211959296
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383211959578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383211983171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383211986937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383212001562
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383212003375
