what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381030435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381034576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381035498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381038092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381038904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381039717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381041732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381044154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381044951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381045701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381046326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381047451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381048232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381050451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381051248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381052763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381053513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381054529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381055560
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1383381061998
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.SourceView",1383381065951
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.SourceView",1383381065967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381069326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381070201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381070982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381071951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381075498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381076295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381077295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381078295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381079388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381080451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381084482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383381087857
